origin,destination,flow
1,1,0.0
1,2,6469.0
1,3,7629.0
1,4,20036.0
1,5,4690.0
1,6,6194.0
1,7,11688.0
1,8,2243.0
1,9,8857.0
1,10,7248.0
2,1,6469.0
2,2,0.0
2,3,12999.0
2,4,13692.0
2,5,3322.0
2,6,5576.0
2,7,3878.0
2,8,3202.0
2,9,6699.0
2,10,4198.0
3,1,7629.0
3,2,12999.0
3,3,0.0
3,4,35135.0
3,5,5956.0
3,6,14121.0
3,7,5951.0
3,8,5768.0
3,9,16578.0
3,10,4242.0
4,1,20036.0
4,2,13692.0
4,3,35135.0
4,4,0.0
4,5,19094.0
4,6,35119.0
4,7,21423.0
4,8,27342.0
4,9,51341.0
4,10,15826.0
5,1,4690.0
5,2,3322.0
5,3,5956.0
5,4,19094.0
5,5,0.0
5,6,7284.0
5,7,3102.0
5,8,1562.0
5,9,7180.0
5,10,1917.0
6,1,6194.0
6,2,5576.0
6,3,14121.0
6,4,35119.0
6,5,7284.0
6,6,0.0
6,7,5023.0
6,8,3512.0
6,9,10419.0
6,10,3543.0
7,1,11688.0
7,2,3878.0
7,3,5951.0
7,4,21423.0
7,5,3102.0
7,6,5023.0
7,7,0.0
7,8,11557.0
7,9,6479.0
7,10,34261.0
8,1,2243.0
8,2,3202.0
8,3,5768.0
8,4,27342.0
8,5,1562.0
8,6,3512.0
8,7,11557.0
8,8,0.0
8,9,5615.0
8,10,7095.0
9,1,8857.0
9,2,6699.0
9,3,16578.0
9,4,51341.0
9,5,7180.0
9,6,10419.0
9,7,6479.0
9,8,5615.0
9,9,0.0
9,10,4448.0
10,1,7248.0
10,2,4198.0
10,3,4242.0
10,4,15826.0
10,5,1917.0
10,6,3543.0
10,7,34261.0
10,8,7095.0
10,9,4448.0
10,10,0.0
