instance,n,p,alpha,optimal_objective,objective_scale,reference,reference_table,note
CAB5,5,1,0.2,766.256857,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,1,0.4,766.256857,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,1,0.6,766.256857,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,1,0.8,766.256857,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,1,1.0,766.256857,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,2,0.2,445.730412,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,2,0.4,541.79784,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,2,0.6,607.19505,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,2,0.8,655.222328,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,2,1.0,703.249607,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,3,0.2,290.739115,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,3,0.4,411.638173,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,3,0.6,514.311464,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,3,0.8,598.92492,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,3,1.0,676.342721,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,4,0.2,183.522035,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,4,0.4,301.692334,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,4,0.6,419.862632,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,4,0.8,532.373918,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,4,1.0,637.34641,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,5,0.2,122.140771,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,5,0.4,244.281542,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,5,0.6,366.422313,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,5,0.8,488.563084,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB5,5,5,1.0,610.703855,CAB normalized-flow objective,Exact enumeration generated with package,not a literature table,CAB5 teaching subset; not extracted from article
CAB10,10,2,0.2,615.99,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,2,0.4,674.31,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,2,0.6,732.63,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,2,0.8,790.94,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,2,1.0,835.81,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,3,0.2,491.93,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,3,0.4,567.91,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,3,0.6,643.89,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,3,0.8,716.98,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
CAB10,10,3,1.0,776.68,CAB normalized-flow objective,Wang and Ting (2009),Table 1,published optimum
